schoolnummer,intern_vplnummer,net,naam,hoofdzetel,adres,straat,huisnummer,busnummer,postcode,gemeente,niscode,provinciecode,provincie,VWO-vestigingsplaatscode,crab-code,crab-huisnr,lx,ly,kbo-nummer,telefoon,fax,e-mail,website,beheerder(s),soort instelling,onderwijsniveau,instellingstype,begindatum,einddatum,status erkenning,clb,bestuur,scholengemeenschap,taalstelsel,ingerichte hoofdstructuren
18,1,Gemeenschapsonderwijs,GO! basisschool De Kleurdoos Brussel,True,"Moutstraat 24, 1000 Brussel",Moutstraat,24,,1000,Brussel,21004,B,Brussels Hoofdstedelijk Gewest,,20244,3028402,148311,171089,"""KBO  0267.377.629""",02 512 49 79,,info@bsdekleurdoos.be,www.bsdekleurdoos.be,DE WAGTER Anne Charlotte,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,122069,Nederlandstalig,111-111-211-211
26,1,Gemeenschapsonderwijs,GO! basisschool 't Plant'zoentje Laken,True,"Karel Bogaerdstraat 4, 1020 Brussel",Karel Bogaerdstraat,4,,1020,Brussel,21004,B,Brussels Hoofdstedelijk Gewest,,20000,2937344,148573,174551,"""KBO  0267.377.629""",02 474 06 20,,sec@hetplantzoentje.be,www.hetplantzoentje.be,WILLAERT Geert,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,124149,Nederlandstalig,111-211
34,2,Gemeenschapsonderwijs,GO! basisschool Schaarbeek Hendrik Conscience,True,"Gustave Latinislaan 94, 1030 Schaarbeek",Gustave Latinislaan,94,,1030,Schaarbeek,21015,B,Brussels Hoofdstedelijk Gewest,,22783,2562214,151558,172623,"""KBO  0267.377.629""",02 215 99 95,,directeur@hendrikconscience.be,www.bshc.be,Merckx Jef,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,124149,Nederlandstalig,211-111
42,1,Gemeenschapsonderwijs,GO! basisschool Atheneum Etterbeek,True,"Edmond Mesenslaan 2, 1040 Etterbeek",Edmond Mesenslaan,2,,1040,Etterbeek,21005,B,Brussels Hoofdstedelijk Gewest,,20830,2654864,152740,169020,"""KBO  0267.377.629""",02 732 17 04,,info@bsetterbeek.be,www.bsetterbeek.be,BOEYKENS Katinka,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,122069,Nederlandstalig,211-111
59,1,Gemeenschapsonderwijs,GO! tehuis en basisschool Etterbeek,True,"Pater Eudore Devroyestraat 29, 1040 Etterbeek",Pater Eudore Devroyestraat,29,,1040,Etterbeek,21005,B,Brussels Hoofdstedelijk Gewest,,20927,2568475,152747,169225,"""KBO  0267.377.629""",02 734 19 05,,directie@tehuisbrussel.be,www.tehuisbrussel.be,MUYLAERT Inès,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,124149,Nederlandstalig,211-111
67,1,Gemeenschapsonderwijs,GO! basisschool De Wimpel Elsene,True,"Cansstraat 14, 1050 Elsene",Cansstraat,14,,1050,Elsene,21009,B,Brussels Hoofdstedelijk Gewest,,21514,2414914,149990,169209,"""KBO  0267.377.629""",02 511 52 30,,secretariaat@dewimpel.be,www.dewimpel.be,Van Crombrugge Nick,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,122069,Nederlandstalig,111-111-211-211-111
75,2,Gemeenschapsonderwijs,GO! basisschool De Bron,True,"Bronstraat 86A, 1060 Sint-Gillis",Bronstraat,86A,,1060,Sint-Gillis,21013,B,Brussels Hoofdstedelijk Gewest,,22401,2535147,149047,168911,"""KBO  0267.377.629""",02 538 54 52,,secretariaat.debron@sgrbrussel.be,www.bsgodebron.com,PERSOONS Séverine,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,129049,Nederlandstalig,111-111-211
83,1,Gemeenschapsonderwijs,GO! lagere school Toverfluit,True,"Toverfluitstraat 21, 1080 Sint-Jans-Molenbeek",Toverfluitstraat,21,,1080,Sint-Jans-Molenbeek,21012,B,Brussels Hoofdstedelijk Gewest,,22339,3020815,144877,171153,"""KBO  0267.377.629""",02 413 11 30,,sabine.vanheeswijck@campustoverfluit.be,www.campustoverfluit.be,VANHEESWIJCK Sabine,Onderwijsinstelling,BaO,Autonome lagere school,01/01/0001,31/12/4444,S,114331,113878,129049,Nederlandstalig,211
91,1,Gemeenschapsonderwijs,GO! basisschool De Goudenregen,True,"Frans Vervaeckstraat 47, 1083 Ganshoren",Frans Vervaeckstraat,47,,1083,Ganshoren,21008,B,Brussels Hoofdstedelijk Gewest,,21377,2530894,146455,173594,"""KBO  0267.377.629""",02 421 54 00,,secretariaat@degoudenregen.be,www.degoudenregen.be,FROELIGER Sebastien,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,129049,Nederlandstalig,211-111
109,1,Gemeenschapsonderwijs,GO! basisschool Unescoschool Koekelberg,True,"Klein-Berchemstraat 1, 1081 Koekelberg",Klein-Berchemstraat,1,,1081,Koekelberg,21011,B,Brussels Hoofdstedelijk Gewest,,22049,2555936,145772,172818,"""KBO  0267.377.629""",02 468 16 16,,guray.turkistan@unescoschool.be,www.unescoschool.be,TURKISTAN Guray,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,129049,Nederlandstalig,211-111
